"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 07:52:28 GMT 2022","Thu Nov 03 07:52:44 GMT 2022","15724","","Create course","","","","should create course",""
"passed","Thu Nov 03 07:46:08 GMT 2022","Thu Nov 03 07:46:13 GMT 2022","4332","","Login test","","","","should show landing page",""
"passed","Thu Nov 03 07:52:52 GMT 2022","Thu Nov 03 07:53:07 GMT 2022","14918","","Create course group","","","","should create curriculum",""
"failed","Thu Nov 03 07:53:15 GMT 2022","Thu Nov 03 07:53:31 GMT 2022","15148","","Create curriculum","","","","should create curriculum",""
"passed","Thu Nov 03 07:53:39 GMT 2022","Thu Nov 03 07:53:53 GMT 2022","13906","","Create team","","","","should create new team",""
"passed","Thu Nov 03 07:47:56 GMT 2022","Thu Nov 03 07:48:03 GMT 2022","6668","","Invite user by 2 ways","","","","can generate a new email address",""
"passed","Thu Nov 03 07:55:50 GMT 2022","Thu Nov 03 07:56:00 GMT 2022","10001","","Clear all created lerning items","","","","delete QA lessons",""
"failed","Thu Nov 03 07:54:49 GMT 2022","Thu Nov 03 07:55:25 GMT 2022","36102","","Check student answers","","","","Check first answer",""
"passed","Thu Nov 03 07:46:26 GMT 2022","Thu Nov 03 07:46:32 GMT 2022","6446","","Register user","","","","can generate a new email address and sign up",""
"failed","Thu Nov 03 07:49:45 GMT 2022","Thu Nov 03 07:50:01 GMT 2022","16372","","Invite user by 2 ways","","","","should invite by admin tools",""
"failed","Thu Nov 03 07:46:32 GMT 2022","Thu Nov 03 07:47:34 GMT 2022","61966","","Register user","","","","can receive the confirmation email and extract the code",""
"failed","Thu Nov 03 07:54:05 GMT 2022","Thu Nov 03 07:54:06 GMT 2022","1005","","Complete the course which we have created in previous tests","","","","should ",""
"passed","Thu Nov 03 07:54:18 GMT 2022","Thu Nov 03 07:54:21 GMT 2022","3005","","Search courses","","","","select Started Finished and All courses",""
"passed","Thu Nov 03 07:51:06 GMT 2022","Thu Nov 03 07:51:24 GMT 2022","17829","","Create lessons","","","","should create lesson(text)",""
"passed","Thu Nov 03 07:54:32 GMT 2022","Thu Nov 03 07:54:33 GMT 2022","1170","","Search curriculums","","","","go to curriculums and search them by name",""
"passed","Thu Nov 03 07:46:13 GMT 2022","Thu Nov 03 07:46:16 GMT 2022","3612","","Login test","","","","should move to login page and log in",""
"passed","Thu Nov 03 07:54:26 GMT 2022","Thu Nov 03 07:54:29 GMT 2022","3697","","Search courses","","","","go to curriculums",""
"failed","Thu Nov 03 07:55:42 GMT 2022","Thu Nov 03 07:55:43 GMT 2022","1029","","Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Thu Nov 03 07:54:21 GMT 2022","Thu Nov 03 07:54:26 GMT 2022","4853","","Search courses","","","","search course by name",""
"passed","Thu Nov 03 07:49:14 GMT 2022","Thu Nov 03 07:49:45 GMT 2022","30864","","Invite user by 2 ways","","","","accept invitation",""
"failed","Thu Nov 03 07:48:38 GMT 2022","Thu Nov 03 07:49:14 GMT 2022","35988","","Invite user by 2 ways","","","","can receive the confirmation email and extract the code",""
"broken","Thu Nov 03 07:56:00 GMT 2022","Thu Nov 03 07:56:12 GMT 2022","11584","","Clear all created lerning items","","","","delete QA course",""
"failed","Thu Nov 03 07:51:41 GMT 2022","Thu Nov 03 07:52:16 GMT 2022","35669","","Profile editing","","","","should assert profile page",""
"failed","Thu Nov 03 07:48:03 GMT 2022","Thu Nov 03 07:48:38 GMT 2022","34635","","Invite user by 2 ways","","","","should invite by user menu",""
"passed","Thu Nov 03 07:54:12 GMT 2022","Thu Nov 03 07:54:18 GMT 2022","5231","","Search courses","","","","open and close course lists",""
"skipped","Thu Nov 03 07:56:12 GMT 2022","Thu Nov 03 07:56:12 GMT 2022","0","","Clear all created lerning items","","","","delete QA course group",""
"skipped","Thu Nov 03 07:56:12 GMT 2022","Thu Nov 03 07:56:12 GMT 2022","1","","Clear all created lerning items","","","","delete QA curriculum",""
"passed","Thu Nov 03 07:50:31 GMT 2022","Thu Nov 03 07:51:06 GMT 2022","35274","","Create lessons","","","","should create lesson(checkbox + radio)",""
