"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 04 11:51:00 GMT 2022","Fri Nov 04 11:51:44 GMT 2022","43674","","Create lessons","","","","should create lesson(text)",""
"failed","Fri Nov 04 11:56:23 GMT 2022","Fri Nov 04 11:56:59 GMT 2022","36100","","Check student answers","","","","Check first answer",""
"passed","Fri Nov 04 11:57:58 GMT 2022","Fri Nov 04 11:58:08 GMT 2022","9683","","Clear all created lerning items","","","","delete QA lessons",""
"failed","Fri Nov 04 11:48:54 GMT 2022","Fri Nov 04 11:49:00 GMT 2022","5888","","Invite user by 2 ways","","","","can receive the confirmation email and extract the code",""
"failed","Fri Nov 04 11:48:06 GMT 2022","Fri Nov 04 11:48:07 GMT 2022","289","","Register user","","","","can receive the confirmation email and extract the code",""
"failed","Fri Nov 04 11:58:08 GMT 2022","Fri Nov 04 11:58:43 GMT 2022","34812","","Clear all created lerning items","","","","delete QA course",""
"failed","Fri Nov 04 11:48:06 GMT 2022","Fri Nov 04 11:48:06 GMT 2022","738","","Register user","","","","can generate a new email address and sign up",""
"passed","Fri Nov 04 11:47:53 GMT 2022","Fri Nov 04 11:47:57 GMT 2022","3864","","Login test","","","","should move to login page and log in",""
"failed","Fri Nov 04 11:48:13 GMT 2022","Fri Nov 04 11:48:19 GMT 2022","5963","","Invite user by 2 ways","","","","can generate a new email address",""
"failed","Fri Nov 04 11:58:43 GMT 2022","Fri Nov 04 11:59:18 GMT 2022","35657","","Clear all created lerning items","","","","delete QA curriculum",""
"failed","Fri Nov 04 11:52:05 GMT 2022","Fri Nov 04 11:52:42 GMT 2022","36958","","Profile editing","","","","should assert profile page",""
"failed","Fri Nov 04 11:53:39 GMT 2022","Fri Nov 04 11:54:24 GMT 2022","45164","","Create curriculum","","","","should create curriculum",""
"passed","Fri Nov 04 11:54:38 GMT 2022","Fri Nov 04 11:54:52 GMT 2022","14554","","Create team","","","","should create new team",""
"failed","Fri Nov 04 11:50:17 GMT 2022","Fri Nov 04 11:51:00 GMT 2022","42466","","Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Fri Nov 04 11:59:18 GMT 2022","Fri Nov 04 11:59:26 GMT 2022","7313","","Clear all created lerning items","","","","delete QA course group",""
"passed","Fri Nov 04 11:56:00 GMT 2022","Fri Nov 04 11:56:04 GMT 2022","4337","","Search courses","","","","go to curriculums",""
"passed","Fri Nov 04 11:55:46 GMT 2022","Fri Nov 04 11:55:52 GMT 2022","6179","","Search courses","","","","open and close course lists",""
"passed","Fri Nov 04 11:56:07 GMT 2022","Fri Nov 04 11:56:07 GMT 2022","676","","Search curriculums","","","","go to curriculums and search them by name",""
"failed","Fri Nov 04 11:52:53 GMT 2022","Fri Nov 04 11:53:08 GMT 2022","14825","","Create course","","","","should create course",""
"passed","Fri Nov 04 11:47:48 GMT 2022","Fri Nov 04 11:47:53 GMT 2022","5256","","Login test","","","","should show landing page",""
"failed","Fri Nov 04 11:49:00 GMT 2022","Fri Nov 04 11:49:35 GMT 2022","35084","","Invite user by 2 ways","","","","accept invitation",""
"passed","Fri Nov 04 11:53:16 GMT 2022","Fri Nov 04 11:53:31 GMT 2022","15063","","Create course group","","","","should create curriculum",""
"passed","Fri Nov 04 11:55:55 GMT 2022","Fri Nov 04 11:56:00 GMT 2022","4545","","Search courses","","","","search course by name",""
"failed","Fri Nov 04 11:55:04 GMT 2022","Fri Nov 04 11:55:35 GMT 2022","30717","","Complete the course which we have created in previous tests","","","","should ",""
"passed","Fri Nov 04 11:55:52 GMT 2022","Fri Nov 04 11:55:55 GMT 2022","2975","","Search courses","","","","select Started Finished and All courses",""
"failed","Fri Nov 04 11:57:16 GMT 2022","Fri Nov 04 11:57:47 GMT 2022","30682","","Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Fri Nov 04 11:49:35 GMT 2022","Fri Nov 04 11:49:53 GMT 2022","17864","","Invite user by 2 ways","","","","should invite by admin tools",""
"failed","Fri Nov 04 11:48:19 GMT 2022","Fri Nov 04 11:48:54 GMT 2022","34865","","Invite user by 2 ways","","","","should invite by user menu",""
