"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 02 15:22:23 GMT 2022","Fri Dec 02 15:23:00 GMT 2022","37211","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"failed","Fri Dec 02 15:35:26 GMT 2022","Fri Dec 02 15:36:08 GMT 2022","42049","","N. Clear all created learning items","","","","delete QA curriculum",""
"failed","Fri Dec 02 15:29:15 GMT 2022","Fri Dec 02 15:30:04 GMT 2022","49399","","H. Create curriculum","","","","should create curriculum",""
"failed","Fri Dec 02 15:26:01 GMT 2022","Fri Dec 02 15:27:03 GMT 2022","62000","","F. Create course","","","","should create course",""
"broken","Fri Dec 02 15:32:58 GMT 2022","Fri Dec 02 15:32:58 GMT 2022","4","","L. Check student answers","","","","Check first answer",""
"failed","Fri Dec 02 15:23:01 GMT 2022","Fri Dec 02 15:24:19 GMT 2022","78537","","D. Create lessons","","","","should create lesson(text)",""
"failed","Fri Dec 02 15:30:47 GMT 2022","Fri Dec 02 15:31:18 GMT 2022","30530","","J. Complete the course which we have created in previous tests","","","","should ",""
"failed","Fri Dec 02 15:24:42 GMT 2022","Fri Dec 02 15:25:47 GMT 2022","64567","","E. Profile editing","","","","should assert profile page",""
"failed","Fri Dec 02 15:33:19 GMT 2022","Fri Dec 02 15:33:50 GMT 2022","30504","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Fri Dec 02 15:20:03 GMT 2022","Fri Dec 02 15:20:18 GMT 2022","14804","","A. Login test","","","","should show landing page",""
"failed","Fri Dec 02 15:33:59 GMT 2022","Fri Dec 02 15:34:43 GMT 2022","44017","","N. Clear all created learning items","","","","delete QA lessons",""
"failed","Fri Dec 02 15:36:08 GMT 2022","Fri Dec 02 15:36:50 GMT 2022","42263","","N. Clear all created learning items","","","","delete QA course group",""
"failed","Fri Dec 02 15:34:43 GMT 2022","Fri Dec 02 15:35:26 GMT 2022","42749","","N. Clear all created learning items","","","","delete QA course",""
"passed","Fri Dec 02 15:20:18 GMT 2022","Fri Dec 02 15:20:25 GMT 2022","6437","","A. Login test","","","","should move to login page and log in",""
"failed","Fri Dec 02 15:20:33 GMT 2022","Fri Dec 02 15:21:43 GMT 2022","69196","","B. Register user","","","","can generate a new email address and sign up",""
"broken","Fri Dec 02 15:27:22 GMT 2022","Fri Dec 02 15:28:56 GMT 2022","93648","","G. Create course group","","","","should create course program",""
"broken","Fri Dec 02 15:30:16 GMT 2022","Fri Dec 02 15:30:24 GMT 2022","7788","","I. Create team","","","","should create new team",""
