"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 12:44:35 GMT 2022","Tue Nov 22 12:44:48 GMT 2022","13279","","G. Create course group","","","","should create curriculum",""
"passed","Tue Nov 22 12:41:04 GMT 2022","Tue Nov 22 12:41:07 GMT 2022","2947","","A. Login test","","","","should move to login page and log in",""
"passed","Tue Nov 22 12:45:53 GMT 2022","Tue Nov 22 12:45:56 GMT 2022","2574","","K. Search courses","","","","search course by name",""
"passed","Tue Nov 22 12:46:25 GMT 2022","Tue Nov 22 12:46:30 GMT 2022","5017","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Tue Nov 22 12:47:06 GMT 2022","Tue Nov 22 12:47:17 GMT 2022","11115","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Tue Nov 22 12:44:16 GMT 2022","Tue Nov 22 12:44:29 GMT 2022","12907","","F. Create course","","","","should create course",""
"failed","Tue Nov 22 12:47:17 GMT 2022","Tue Nov 22 12:47:28 GMT 2022","11297","","N. Clear all created learning items","","","","delete QA course group",""
"failed","Tue Nov 22 12:42:18 GMT 2022","Tue Nov 22 12:42:34 GMT 2022","15376","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"passed","Tue Nov 22 12:41:00 GMT 2022","Tue Nov 22 12:41:04 GMT 2022","4312","","A. Login test","","","","should show landing page",""
"passed","Tue Nov 22 12:46:51 GMT 2022","Tue Nov 22 12:47:06 GMT 2022","14870","","N. Clear all created learning items","","","","delete QA course",""
"failed","Tue Nov 22 12:43:59 GMT 2022","Tue Nov 22 12:44:11 GMT 2022","11879","","E. Profile editing","","","","should assert profile page",""
"passed","Tue Nov 22 12:45:56 GMT 2022","Tue Nov 22 12:45:58 GMT 2022","2519","","K. Search courses","","","","go to curriculums",""
"passed","Tue Nov 22 12:46:35 GMT 2022","Tue Nov 22 12:46:51 GMT 2022","15925","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Tue Nov 22 12:45:50 GMT 2022","Tue Nov 22 12:45:53 GMT 2022","3417","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Tue Nov 22 12:46:09 GMT 2022","Tue Nov 22 12:46:17 GMT 2022","7806","","L. Check student answers","","","","Check first answer",""
"failed","Tue Nov 22 12:41:27 GMT 2022","Tue Nov 22 12:41:37 GMT 2022","9930","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Tue Nov 22 12:45:14 GMT 2022","Tue Nov 22 12:45:26 GMT 2022","11953","","I. Create team","","","","should create new team",""
"passed","Tue Nov 22 12:41:14 GMT 2022","Tue Nov 22 12:41:19 GMT 2022","5080","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Tue Nov 22 12:45:35 GMT 2022","Tue Nov 22 12:45:44 GMT 2022","9526","","J. Complete the course which we have created in previous tests","","","","should ",""
"failed","Tue Nov 22 12:41:19 GMT 2022","Tue Nov 22 12:41:22 GMT 2022","2569","","B. Register user","","","","can receive the confirmation email and extract the code",""
"passed","Tue Nov 22 12:42:50 GMT 2022","Tue Nov 22 12:43:25 GMT 2022","34719","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Tue Nov 22 12:43:25 GMT 2022","Tue Nov 22 12:43:45 GMT 2022","20115","","D. Create lessons","","","","should create lesson(text)",""
"failed","Tue Nov 22 12:41:37 GMT 2022","Tue Nov 22 12:42:18 GMT 2022","41080","","C. Invite user by 2 ways","","","","delete invited user",""
"passed","Tue Nov 22 12:44:54 GMT 2022","Tue Nov 22 12:45:08 GMT 2022","14057","","H. Create curriculum","","","","should create curriculum",""
"failed","Tue Nov 22 12:41:37 GMT 2022","Tue Nov 22 12:41:37 GMT 2022","267","","C. Invite user by 2 ways","","","","accept invitation",""
