"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 12:12:36 GMT 2022","Tue Nov 08 12:12:39 GMT 2022","3167","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Tue Nov 08 12:11:04 GMT 2022","Tue Nov 08 12:11:18 GMT 2022","14381","","G. Create course group","","","","should create curriculum",""
"passed","Tue Nov 08 12:11:26 GMT 2022","Tue Nov 08 12:11:42 GMT 2022","15922","","H. Create curriculum","","","","should create curriculum",""
"passed","Tue Nov 08 12:12:50 GMT 2022","Tue Nov 08 12:12:51 GMT 2022","656","","Search curriculums","","","","go to curriculums and search them by name",""
"passed","Tue Nov 08 12:07:13 GMT 2022","Tue Nov 08 12:07:28 GMT 2022","14321","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Tue Nov 08 12:14:00 GMT 2022","Tue Nov 08 12:14:16 GMT 2022","15611","","N. Clear all created learning items","","","","delete QA course",""
"passed","Tue Nov 08 12:14:16 GMT 2022","Tue Nov 08 12:14:31 GMT 2022","15761","","N. Clear all created learning items","","","","delete QA curriculum",""
"failed","Tue Nov 08 12:08:23 GMT 2022","Tue Nov 08 12:08:39 GMT 2022","16005","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"failed","Tue Nov 08 12:10:22 GMT 2022","Tue Nov 08 12:10:35 GMT 2022","13189","","E. Profile editing","","","","should assert profile page",""
"passed","Tue Nov 08 12:13:28 GMT 2022","Tue Nov 08 12:13:34 GMT 2022","5289","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Tue Nov 08 12:06:57 GMT 2022","Tue Nov 08 12:07:04 GMT 2022","6918","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Tue Nov 08 12:12:14 GMT 2022","Tue Nov 08 12:12:23 GMT 2022","9876","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Tue Nov 08 12:06:44 GMT 2022","Tue Nov 08 12:06:48 GMT 2022","3751","","A. Login test","","","","should move to login page and log in",""
"failed","Tue Nov 08 12:07:41 GMT 2022","Tue Nov 08 12:08:23 GMT 2022","41693","","C. Invite user by 2 ways","","","","delete invited user",""
"passed","Tue Nov 08 12:13:06 GMT 2022","Tue Nov 08 12:13:17 GMT 2022","10842","","L. Check student answers","","","","Check first answer",""
"failed","Tue Nov 08 12:07:04 GMT 2022","Tue Nov 08 12:07:07 GMT 2022","2361","","B. Register user","","","","can receive the confirmation email and extract the code",""
"passed","Tue Nov 08 12:09:41 GMT 2022","Tue Nov 08 12:10:04 GMT 2022","23539","","D. Create lessons","","","","should create lesson(text)",""
"passed","Tue Nov 08 12:13:40 GMT 2022","Tue Nov 08 12:14:00 GMT 2022","19825","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Tue Nov 08 12:09:01 GMT 2022","Tue Nov 08 12:09:40 GMT 2022","39798","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Tue Nov 08 12:14:32 GMT 2022","Tue Nov 08 12:14:44 GMT 2022","12580","","N. Clear all created learning items","","","","delete QA course group",""
"passed","Tue Nov 08 12:11:49 GMT 2022","Tue Nov 08 12:12:02 GMT 2022","12886","","I. Create team","","","","should create new team",""
"passed","Tue Nov 08 12:07:28 GMT 2022","Tue Nov 08 12:07:41 GMT 2022","13146","","C. Invite user by 2 ways","","","","accept invitation",""
"passed","Tue Nov 08 12:06:40 GMT 2022","Tue Nov 08 12:06:44 GMT 2022","4383","","A. Login test","","","","should show landing page",""
"passed","Tue Nov 08 12:12:44 GMT 2022","Tue Nov 08 12:12:47 GMT 2022","3828","","K. Search courses","","","","go to curriculums",""
"passed","Tue Nov 08 12:12:39 GMT 2022","Tue Nov 08 12:12:44 GMT 2022","4573","","K. Search courses","","","","search course by name",""
"passed","Tue Nov 08 12:10:42 GMT 2022","Tue Nov 08 12:10:56 GMT 2022","14589","","F. Create course","","","","should create course",""
"passed","Tue Nov 08 12:12:31 GMT 2022","Tue Nov 08 12:12:36 GMT 2022","4881","","K. Search courses","","","","open and close course lists",""
