"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 12:11:10 GMT 2022","Thu Dec 01 12:11:54 GMT 2022","44081","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Thu Dec 01 12:14:42 GMT 2022","Thu Dec 01 12:14:51 GMT 2022","8165","","L. Check student answers","","","","Check first answer",""
"passed","Thu Dec 01 12:12:47 GMT 2022","Thu Dec 01 12:13:00 GMT 2022","13150","","F. Create course","","","","should create course",""
"passed","Thu Dec 01 12:10:23 GMT 2022","Thu Dec 01 12:10:26 GMT 2022","3275","","A. Login test","","","","should move to login page and log in",""
"passed","Thu Dec 01 12:14:22 GMT 2022","Thu Dec 01 12:14:26 GMT 2022","4096","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Thu Dec 01 12:13:25 GMT 2022","Thu Dec 01 12:13:40 GMT 2022","14908","","H. Create curriculum","","","","should create curriculum",""
"passed","Thu Dec 01 12:14:29 GMT 2022","Thu Dec 01 12:14:32 GMT 2022","2930","","K. Search courses","","","","go to curriculums",""
"passed","Thu Dec 01 12:13:05 GMT 2022","Thu Dec 01 12:13:19 GMT 2022","14039","","G. Create course group","","","","should create course program",""
"passed","Thu Dec 01 12:15:00 GMT 2022","Thu Dec 01 12:15:05 GMT 2022","5643","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Thu Dec 01 12:14:06 GMT 2022","Thu Dec 01 12:14:17 GMT 2022","10264","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Thu Dec 01 12:15:43 GMT 2022","Thu Dec 01 12:15:57 GMT 2022","14752","","N. Clear all created learning items","","","","delete QA curriculum",""
"failed","Thu Dec 01 12:12:29 GMT 2022","Thu Dec 01 12:12:42 GMT 2022","12230","","E. Profile editing","","","","should assert profile page",""
"passed","Thu Dec 01 12:11:54 GMT 2022","Thu Dec 01 12:12:15 GMT 2022","21151","","D. Create lessons","","","","should create lesson(text)",""
"passed","Thu Dec 01 12:15:10 GMT 2022","Thu Dec 01 12:15:28 GMT 2022","17638","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Thu Dec 01 12:14:26 GMT 2022","Thu Dec 01 12:14:29 GMT 2022","2945","","K. Search courses","","","","search course by name",""
"passed","Thu Dec 01 12:13:45 GMT 2022","Thu Dec 01 12:13:58 GMT 2022","12541","","I. Create team","","","","should create new team",""
"passed","Thu Dec 01 12:10:33 GMT 2022","Thu Dec 01 12:10:38 GMT 2022","5438","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Thu Dec 01 12:10:19 GMT 2022","Thu Dec 01 12:10:23 GMT 2022","3728","","A. Login test","","","","should show landing page",""
"failed","Thu Dec 01 12:10:38 GMT 2022","Thu Dec 01 12:10:43 GMT 2022","4749","","B. Register user","","","","can receive the confirmation email and extract the code",""
"passed","Thu Dec 01 12:15:28 GMT 2022","Thu Dec 01 12:15:43 GMT 2022","14894","","N. Clear all created learning items","","","","delete QA course",""
"passed","Thu Dec 01 12:15:57 GMT 2022","Thu Dec 01 12:16:10 GMT 2022","12196","","N. Clear all created learning items","","","","delete QA course group",""
