"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 12:20:50 GMT 2022","Tue Dec 06 12:21:01 GMT 2022","11509","","N. Clear all created learning items","","","","delete QA course group",""
"passed","Tue Dec 06 12:19:28 GMT 2022","Tue Dec 06 12:19:30 GMT 2022","2360","","K. Search courses","","","","go to curriculums",""
"passed","Tue Dec 06 12:20:05 GMT 2022","Tue Dec 06 12:20:21 GMT 2022","16777","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Tue Dec 06 12:19:08 GMT 2022","Tue Dec 06 12:19:17 GMT 2022","8896","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Tue Dec 06 12:20:36 GMT 2022","Tue Dec 06 12:20:50 GMT 2022","14217","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Tue Dec 06 12:19:40 GMT 2022","Tue Dec 06 12:19:48 GMT 2022","7352","","L. Check student answers","","","","Check first answer",""
"passed","Tue Dec 06 12:15:55 GMT 2022","Tue Dec 06 12:16:06 GMT 2022","10443","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Tue Dec 06 12:18:49 GMT 2022","Tue Dec 06 12:19:00 GMT 2022","11434","","I. Create team","","","","should create new team",""
"passed","Tue Dec 06 12:19:22 GMT 2022","Tue Dec 06 12:19:26 GMT 2022","3339","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Tue Dec 06 12:19:26 GMT 2022","Tue Dec 06 12:19:28 GMT 2022","2478","","K. Search courses","","","","search course by name",""
"passed","Tue Dec 06 12:19:56 GMT 2022","Tue Dec 06 12:20:00 GMT 2022","4371","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Tue Dec 06 12:18:12 GMT 2022","Tue Dec 06 12:18:25 GMT 2022","12481","","G. Create course group","","","","should create course program",""
"passed","Tue Dec 06 12:17:55 GMT 2022","Tue Dec 06 12:18:07 GMT 2022","12110","","F. Create course","","","","should create course",""
"passed","Tue Dec 06 12:16:28 GMT 2022","Tue Dec 06 12:17:08 GMT 2022","40386","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Tue Dec 06 12:15:41 GMT 2022","Tue Dec 06 12:15:45 GMT 2022","4144","","A. Login test","","","","should show landing page",""
"passed","Tue Dec 06 12:20:21 GMT 2022","Tue Dec 06 12:20:36 GMT 2022","14301","","N. Clear all created learning items","","","","delete QA course",""
"passed","Tue Dec 06 12:17:43 GMT 2022","Tue Dec 06 12:17:50 GMT 2022","7452","","E. Profile editing","","","","should assert profile page",""
"passed","Tue Dec 06 12:18:30 GMT 2022","Tue Dec 06 12:18:43 GMT 2022","13453","","H. Create curriculum","","","","should create curriculum",""
"passed","Tue Dec 06 12:17:08 GMT 2022","Tue Dec 06 12:17:28 GMT 2022","19659","","D. Create lessons","","","","should create lesson(text)",""
"passed","Tue Dec 06 12:15:45 GMT 2022","Tue Dec 06 12:15:48 GMT 2022","3307","","A. Login test","","","","should move to login page and log in",""
