"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 10:31:04 GMT 2022","Wed Dec 07 10:31:16 GMT 2022","11806","","N. Clear all created learning items","","","","delete QA course group",""
"passed","Wed Dec 07 10:23:41 GMT 2022","Wed Dec 07 10:23:48 GMT 2022","7255","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Wed Dec 07 10:27:19 GMT 2022","Wed Dec 07 10:27:31 GMT 2022","11840","","I. Create team","","","","should create new team",""
"passed","Wed Dec 07 10:23:57 GMT 2022","Wed Dec 07 10:24:08 GMT 2022","10984","","C. Invite user by 2 ways","","","","delete invited user",""
"passed","Wed Dec 07 10:28:32 GMT 2022","Wed Dec 07 10:28:34 GMT 2022","2559","","K. Search courses","","","","search course by name",""
"failed","Wed Dec 07 10:24:31 GMT 2022","Wed Dec 07 10:25:24 GMT 2022","52844","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Wed Dec 07 10:26:20 GMT 2022","Wed Dec 07 10:26:33 GMT 2022","13158","","F. Create course","","","","should create course",""
"passed","Wed Dec 07 10:23:54 GMT 2022","Wed Dec 07 10:23:57 GMT 2022","3225","","C. Invite user by 2 ways","","","","accept invitation",""
"passed","Wed Dec 07 10:26:06 GMT 2022","Wed Dec 07 10:26:13 GMT 2022","7740","","E. Profile editing","","","","should assert profile page",""
"passed","Wed Dec 07 10:23:15 GMT 2022","Wed Dec 07 10:23:19 GMT 2022","3076","","A. Login test","","","","should move to login page and log in",""
"failed","Wed Dec 07 10:29:35 GMT 2022","Wed Dec 07 10:30:07 GMT 2022","31458","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Wed Dec 07 10:27:40 GMT 2022","Wed Dec 07 10:28:13 GMT 2022","32363","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Wed Dec 07 10:23:49 GMT 2022","Wed Dec 07 10:23:54 GMT 2022","5340","","C. Invite user by 2 ways","","","","getting last email",""
"passed","Wed Dec 07 10:23:11 GMT 2022","Wed Dec 07 10:23:15 GMT 2022","4220","","A. Login test","","","","should show landing page",""
"passed","Wed Dec 07 10:26:39 GMT 2022","Wed Dec 07 10:26:52 GMT 2022","12918","","G. Create course group","","","","should create course program",""
"passed","Wed Dec 07 10:28:34 GMT 2022","Wed Dec 07 10:28:37 GMT 2022","2514","","K. Search courses","","","","go to curriculums",""
"passed","Wed Dec 07 10:23:26 GMT 2022","Wed Dec 07 10:23:35 GMT 2022","8928","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Wed Dec 07 10:30:17 GMT 2022","Wed Dec 07 10:30:35 GMT 2022","17842","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Wed Dec 07 10:30:50 GMT 2022","Wed Dec 07 10:31:04 GMT 2022","14682","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Wed Dec 07 10:24:08 GMT 2022","Wed Dec 07 10:24:19 GMT 2022","10373","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"passed","Wed Dec 07 10:30:35 GMT 2022","Wed Dec 07 10:30:50 GMT 2022","14607","","N. Clear all created learning items","","","","delete QA course",""
"failed","Wed Dec 07 10:28:48 GMT 2022","Wed Dec 07 10:29:20 GMT 2022","32532","","L. Check student answers","","","","Check first answer",""
"passed","Wed Dec 07 10:26:58 GMT 2022","Wed Dec 07 10:27:13 GMT 2022","14131","","H. Create curriculum","","","","should create curriculum",""
"passed","Wed Dec 07 10:28:27 GMT 2022","Wed Dec 07 10:28:32 GMT 2022","4211","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Wed Dec 07 10:25:24 GMT 2022","Wed Dec 07 10:25:46 GMT 2022","22075","","D. Create lessons","","","","should create lesson(text)",""
