"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 02 13:18:08 GMT 2022","Fri Dec 02 13:18:50 GMT 2022","42080","","N. Clear all created learning items","","","","delete QA lessons",""
"failed","Fri Dec 02 13:13:46 GMT 2022","Fri Dec 02 13:14:30 GMT 2022","43847","","H. Create curriculum","","","","should create curriculum",""
"failed","Fri Dec 02 13:20:14 GMT 2022","Fri Dec 02 13:20:27 GMT 2022","12912","","N. Clear all created learning items","","","","delete QA course group",""
"failed","Fri Dec 02 13:09:29 GMT 2022","Fri Dec 02 13:10:05 GMT 2022","35786","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Fri Dec 02 13:09:15 GMT 2022","Fri Dec 02 13:09:19 GMT 2022","3750","","A. Login test","","","","should show landing page",""
"failed","Fri Dec 02 13:19:32 GMT 2022","Fri Dec 02 13:20:14 GMT 2022","42259","","N. Clear all created learning items","","","","delete QA curriculum",""
"failed","Fri Dec 02 13:12:14 GMT 2022","Fri Dec 02 13:12:27 GMT 2022","12781","","E. Profile editing","","","","should assert profile page",""
"failed","Fri Dec 02 13:11:21 GMT 2022","Fri Dec 02 13:11:58 GMT 2022","37317","","D. Create lessons","","","","should create lesson(text)",""
"failed","Fri Dec 02 13:17:29 GMT 2022","Fri Dec 02 13:17:59 GMT 2022","30507","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Fri Dec 02 13:12:33 GMT 2022","Fri Dec 02 13:13:15 GMT 2022","42520","","F. Create course","","","","should create course",""
"failed","Fri Dec 02 13:10:05 GMT 2022","Fri Dec 02 13:10:10 GMT 2022","4929","","B. Register user","","","","can receive the confirmation email and extract the code",""
"failed","Fri Dec 02 13:18:50 GMT 2022","Fri Dec 02 13:19:32 GMT 2022","41552","","N. Clear all created learning items","","","","delete QA course",""
"failed","Fri Dec 02 13:10:44 GMT 2022","Fri Dec 02 13:11:21 GMT 2022","36788","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Fri Dec 02 13:09:19 GMT 2022","Fri Dec 02 13:09:22 GMT 2022","3447","","A. Login test","","","","should move to login page and log in",""
"failed","Fri Dec 02 13:15:07 GMT 2022","Fri Dec 02 13:15:38 GMT 2022","30583","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Fri Dec 02 13:14:41 GMT 2022","Fri Dec 02 13:14:56 GMT 2022","14272","","I. Create team","","","","should create new team",""
"failed","Fri Dec 02 13:16:42 GMT 2022","Fri Dec 02 13:17:15 GMT 2022","32726","","L. Check student answers","","","","Check first answer",""
"passed","Fri Dec 02 13:13:26 GMT 2022","Fri Dec 02 13:13:41 GMT 2022","14332","","G. Create course group","","","","should create course program",""
