"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 15 07:06:52 GMT 2022","Tue Nov 15 07:07:27 GMT 2022","34804","","I. Create team","","","","should create new team",""
"failed","Tue Nov 15 07:01:24 GMT 2022","Tue Nov 15 07:01:59 GMT 2022","34502","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"failed","Tue Nov 15 07:02:24 GMT 2022","Tue Nov 15 07:02:59 GMT 2022","34923","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"broken","Tue Nov 15 07:08:12 GMT 2022","Tue Nov 15 07:08:12 GMT 2022","2","","J. Complete the course which we have created in previous tests","","","","should ",""
"skipped","Tue Nov 15 07:08:57 GMT 2022","Tue Nov 15 07:08:57 GMT 2022","1","","K. Search courses","","","","go to curriculums",""
"skipped","Tue Nov 15 07:11:13 GMT 2022","Tue Nov 15 07:11:13 GMT 2022","0","","N. Clear all created learning items","","","","delete QA curriculum",""
"failed","Tue Nov 15 07:00:04 GMT 2022","Tue Nov 15 07:00:08 GMT 2022","3833","","B. Register user","","","","can receive the confirmation email and extract the code",""
"broken","Tue Nov 15 07:08:22 GMT 2022","Tue Nov 15 07:08:57 GMT 2022","34797","","K. Search courses","","","","select Started Finished and All courses",""
"failed","Tue Nov 15 07:02:59 GMT 2022","Tue Nov 15 07:03:33 GMT 2022","34364","","D. Create lessons","","","","should create lesson(text)",""
"failed","Tue Nov 15 07:00:50 GMT 2022","Tue Nov 15 07:00:50 GMT 2022","347","","C. Invite user by 2 ways","","","","accept invitation",""
"failed","Tue Nov 15 07:04:36 GMT 2022","Tue Nov 15 07:05:10 GMT 2022","34817","","F. Create course","","","","should create course",""
"failed","Tue Nov 15 06:59:07 GMT 2022","Tue Nov 15 06:59:41 GMT 2022","34528","","A. Login test","","","","should move to login page and log in",""
"broken","Tue Nov 15 07:10:39 GMT 2022","Tue Nov 15 07:11:13 GMT 2022","34831","","N. Clear all created learning items","","","","delete QA lessons",""
"broken","Tue Nov 15 07:09:43 GMT 2022","Tue Nov 15 07:09:43 GMT 2022","1","","L. Check student answers","","","","Check first answer",""
"broken","Tue Nov 15 07:06:06 GMT 2022","Tue Nov 15 07:06:41 GMT 2022","34955","","H. Create curriculum","","","","should create curriculum",""
"failed","Tue Nov 15 07:00:16 GMT 2022","Tue Nov 15 07:00:49 GMT 2022","33651","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Tue Nov 15 06:59:01 GMT 2022","Tue Nov 15 06:59:07 GMT 2022","5424","","A. Login test","","","","should show landing page",""
"failed","Tue Nov 15 07:00:50 GMT 2022","Tue Nov 15 07:01:24 GMT 2022","34540","","C. Invite user by 2 ways","","","","delete invited user",""
"broken","Tue Nov 15 07:05:21 GMT 2022","Tue Nov 15 07:05:56 GMT 2022","34872","","G. Create course group","","","","should create curriculum",""
"failed","Tue Nov 15 07:03:50 GMT 2022","Tue Nov 15 07:04:25 GMT 2022","34940","","E. Profile editing","","","","should assert profile page",""
"broken","Tue Nov 15 07:10:28 GMT 2022","Tue Nov 15 07:10:28 GMT 2022","2","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Tue Nov 15 06:59:56 GMT 2022","Tue Nov 15 07:00:04 GMT 2022","7738","","B. Register user","","","","can generate a new email address and sign up",""
"skipped","Tue Nov 15 07:11:13 GMT 2022","Tue Nov 15 07:11:13 GMT 2022","0","","N. Clear all created learning items","","","","delete QA course group",""
"skipped","Tue Nov 15 07:11:13 GMT 2022","Tue Nov 15 07:11:13 GMT 2022","1","","N. Clear all created learning items","","","","delete QA course",""
"skipped","Tue Nov 15 07:08:57 GMT 2022","Tue Nov 15 07:08:57 GMT 2022","0","","K. Search courses","","","","search course by name",""
